編號,品牌通路,品牌,系列中文名稱,系列英文名稱,中文品名,英文品名,中文簡介,英文簡介,用途,品項,功效,上市日期,規格,販售國家,停產國家,是否限量,產品別名,建立時間,修改時間,是否為口碑之星,是否在前台隱藏,精選文章數,是否上過首頁推薦,產品圖,圖1,圖2,圖3,圖4,圖5,
8,專櫃,ORIGINS 品木宣言,特效面膜與深層潔淨,,奇蹟面膜,,短時間內的肌膚急救面膜。像硫磺溫泉一樣的護膚效果，幫您修護活化肌膚。每週使用一至二次。於臉部清潔後仍濕潤時，在整個臉部(避開眼、唇四周)或問題部位均勻地塗上薄薄一層，待10分鐘後用清水洗淨。,,保養品,"清潔面膜,","深層清潔,修護,抗痘,舒緩,",,"容量:100ml:NT980,","TW, MY",,N,"ORIGINS奇蹟面膜,品木 奇蹟面膜,品木宣言奇蹟面膜",2015/7/24,,N,Y,33,Y,https://pic.pimg.tw/styleme/1443058463-2786945417.jpg,,,,,,
11,專櫃,kiehl's 契爾氏,亞馬遜白泥淨緻毛孔系列,,亞馬遜白泥淨緻毛孔面膜,Rare Earth Deep Pore Cleansing Masque,"一款能有效幫助淨化毛孔、深層清潔，改善多餘油脂分泌的神奇面膜。
使用後肌膚呈現出完美的平滑及潔淨，內含亞馬遜白泥、翠葉蘆薈萃取、皂土、燕麥粉，適用於所有膚質，乾性肌膚可每週使用一次做為特效護理。",,保養品,"清潔面膜,","深層清潔,收斂毛孔,控油,",,"容量:125ml:NT1200,容量:142g:NT0:RM130,","TW, MY",,N,"kiehl's 白泥面膜,kiehl's亞馬遜白泥淨緻毛孔面膜,kiehl's白泥淨緻毛孔面膜,亞馬遜白泥淨緻毛孔面膜,契爾氏 白泥面膜,契爾氏亞馬遜白泥淨緻毛孔面膜",2015/7/24,,N,N,57,Y,https://pic.pimg.tw/styleme/1471838238-1550092175.jpg,,,,,,
14,專櫃,shu uemura 植村秀,卸妝產品,,植物精萃潔顏油 綠茶版,Anti/Oxi Skin Refining Anti-Dullness Cleansing Oil,乳化力超越前代2倍，只需30秒就能瞬間溶解所有彩妝，洗卸同步、眼臉全卸，高效率洗卸乾淨肌膚，同時添加植萃淨化成分「永生樹萃取因子」，更能清除空氣髒污與皮脂塵垢，幫助淨化毛孔，讓卸妝後的肌膚清爽0阻塞。,,保養品,"卸妝產品,","卸妝,清潔,",2013/6/1,"容量:150ml:NT1030:RM145,容量:450ml:NT2680:RM330,","TW, MY",,N,"shu 植物精萃,shu 綠茶,植村秀 植物精萃,植村秀 精萃潔顏油,植村秀 綠茶,植村秀 綠茶卸妝油,植村秀 綠茶潔顏油,植物精萃潔顏油",2015/7/24,,N,N,55,Y,https://pic.pimg.tw/styleme/1471851039-2053005800.png,,,,,,
17,專櫃,SHISEIDO 資生堂（東京櫃）,碧麗妃溫°C循環系列,,,Benefique Hot Cleansing,,,保養品,"卸妝產品,","卸妝,清潔,",2014/9/1,"容量:150g:NT1350,","TW, MY",,N,,2015/7/24,,N,N,22,Y,https://pic.pimg.tw/styleme/1443057443-2515689085.jpg,,,,,,
20,專櫃,KOSE 高絲,,,雪肌精淨白黑面膜,Clear Whitening Mask,緊實肌膚、去除毛孔粉刺、改善膚色暗沉。集中美白的黑面膜，由草本植物精華實現瑩透美肌,,保養品,"清潔面膜,","深層清潔,改善粉刺,美白,",2013/6/1,"容量:80g:NT850,","TW, MY",,N,"kose雪肌精淨白黑面膜,雪肌精淨白黑面膜,高絲雪肌精淨白黑面膜",2015/7/24,,N,N,12,Y,https://pic.pimg.tw/styleme/1443058450-3672473835.jpg,,,,,,
29,專櫃,ORIGINS 品木宣言,,,一舉兩得潔面慕絲,,慕絲般的柔細觸感，以及智慧型配方，先偵測肌膚的油水分佈情形，再徹底清潔肌膚，卻不破壞肌膚的天然皮脂膜。洗後完全不緊繃，達到油水平衡的狀態。早晚皆可使用，尤其適合混合性膚質，或者喜歡洗完臉後清爽感覺的顧客。,,保養品,"洗顏產品,","清潔,",,"容量:150ml:NT830,","TW, MY",,N,"ORIGINS 一舉兩得,ORIGINS 一蒟兩得,一舉兩得潔面慕絲,品木 一蒟兩得,品木 潔面慕絲,品木宣言 一舉兩得",2015/7/24,,N,N,18,Y,https://pic.pimg.tw/styleme/1443057397-3310399465.jpg,,,,,,
32,專櫃,SK-II,Pitera基礎系列,,青春敷面膜,Facial Treatment Mask,雙重酵母的處方一次補給肌膚約10 倍的PITERATM天然活膚酵母精華，改善膚質呈現均勻漂亮的透明感，並有效防止日曬所引起之皺紋、暗沉、斑點之產生，柔軟肌膚保持肌膚潤澤及健康。,,保養品,"保養面膜,","保濕,抗老,透亮,",2004/7/24,"容量:6pcs:NT2600,容量:6pc:RM339:NT0,","TW, MY",,N,"SK II青春敷面膜,SK-II 青春敷面膜,SK-II青春面膜,SK2青春敷面膜,SKII青春敷面膜,青春敷面膜",2015/7/24,,N,N,16,Y,https://pic.pimg.tw/styleme/1471838298-2491264701.jpg,,,,,,
35,專櫃,SHISEIDO 資生堂（國際櫃）,百優系列,,百優瞬效新生彈力眼霜,Bio-Performance Super Corrective Eye Cream,提升肌膚內的玻尿酸含量，促進肌膚的天然保濕因子生成，達到強化眼周護理，塑造緊緻、光燦、平滑的雙眸。,,保養品,"眼部保養,","保濕,抗老,緊實,改善細紋,",2013/8/1,"容量:15ml:NT1900,","TW, MY",,N,"SHISEIDO 百優眼霜,shiseido百優瞬效新生彈力眼霜,百優瞬效新生彈力眼霜,資生堂 瞬效眼霜,資生堂新生彈力眼霜,資生堂百優眼霜,資生堂百優瞬效新生彈力眼霜",2015/7/24,,N,N,2,Y,https://pic.pimg.tw/styleme/1443058385-4182258750.jpg,,,,,,
38,專櫃,,肌因賦活系列 ,,超進化肌因亮眼精粹,Advanced Genifique Eye Light Pearl,首創360°旋轉的專利肌因導入亮眼冰珠，幫助保養快速發揮功效，改善眼周的黯沉，紓解眼周的浮腫，增加眼周微循環，一瓶解決眼周10大問題。,,保養品,"眼部保養,","保濕,緊實,修護,",2015/4/24,"容量:20ml:NT2500:RM268,","TW, MY",,N,"lancoem 亮眼精粹,lancome 亮眼,lancome 亮眼冰珠,lancome 肌因亮眼精粹,lancome 超進化肌因亮眼精粹,肌因亮眼賦活精粹,蘭蔻 亮眼精粹,蘭蔻 肌因亮眼精粹,蘭蔻 肌因眼部精華,蘭蔻 超進化肌因亮眼精粹,超進化肌因亮眼精粹",2015/7/24,,N,N,22,Y,https://pic.pimg.tw/styleme/1471838060-3057373901.jpg,,,,,,
41,專櫃,IPSA 茵芙莎,REFINER,,泥狀角質按摩霜EX,Luminizing Clay,首創乾濕兩用科技，無季節限定使用，適合各膚質。新添加『深層礦物海泥』，強力吸附洗淨毛孔內部汙垢，去除老廢角質，以及全新『乙脢化醣醛酸』，提供高效的保濕力，維持肌膚滋潤新生。,,保養品,"臉部去角質,","去角質,深層清潔,收斂毛孔,",2011/9/1,"容量:100g:NT1450,","TW, MY",,N,"IPSA 去角質,ipsa 按摩泥,IPSA 泥狀角質,IPSA 角質按摩霜",2015/7/24,,N,N,59,Y,https://pic.pimg.tw/styleme/1471836457-1931389110.jpg,,,,,,
